Dataset,dims,Sil_fine,Sil_coarse,Sil_avg,KNN_acc_fine,n_k_fine,KNN_acc_coarse,n_k_coarse,HSil_fine,HSil_coarse,HSil_avg,HKNN_acc_fine,HKNN_acc_coarse
3BirdSpecies9individuals,3,-0.14165587880610803,0.2853336337778962,0.0718388774858941,0.4251207729468599,18,0.7632850241545893,7,-0.030303434322334684,0.352691318408625,0.16119394204314516,0.0,0.6666666666666666
3BirdSpecies9individuals,4,-0.05123508761456604,0.3010173984882878,0.12489115543686087,0.5169082125603864,36,0.8743961352657005,13,0.038085914382752946,0.34773658583402706,0.19291125010839,0.0,0.7555555555555555
3BirdSpecies9individuals,8,0.01937260075865724,0.2646927569608157,0.14203267885973647,0.6038647342995169,3,0.8888888888888888,1,0.06315135835923638,0.32743905878377716,0.19529520857150678,0.0,0.7555555555555555
3BirdSpecies9individuals,16,0.03264844759387527,0.23589627262459678,0.13427236010923602,0.6473429951690821,13,0.8985507246376812,13,0.09892963846490242,0.315138560482455,0.2070340994736787,0.0,0.7777777777777778
3BirdSpecies9individuals,32,0.03379965795880322,0.21464443051809068,0.12422204423844695,0.6763285024154589,6,0.9082125603864735,9,0.1287029890914103,0.3081575336653423,0.21843026137837632,0.0,0.7777777777777778
3BirdSpecies9individuals,64,0.03412854406066121,0.20205248765114314,0.11809051585590218,0.7004830917874396,6,0.8888888888888888,27,0.13909907699697993,0.2966561720795272,0.21787762453825357,0.0,0.8
3BirdSpecies9individuals,128,0.03377502763511309,0.19776960578289923,0.11577231670900616,0.7101449275362319,5,0.9130434782608695,8,0.13804806812169762,0.29120769270260805,0.21462788041215283,0.0,0.8111111111111111
Nsynth,3,-0.11439405098447016,0.2389183794669152,0.062262164241222516,0.7198067632850241,15,0.8888888888888888,15,-0.1585049135877093,0.10865159212111536,-0.024926660733296968,0.0,0.45555555555555555
Nsynth,4,0.007786800061896331,0.25356234471558253,0.13067457238873942,0.782608695652174,10,0.9082125603864735,17,-0.13630554140754458,0.0965921457314821,-0.01985669783803124,0.0,0.4888888888888889
Nsynth,8,0.14893092415724551,0.40111436210571927,0.2750226431314824,0.9033816425120773,5,1.0,5,0.0796946087898231,0.12150379456959062,0.10059920167970686,0.0,0.6111111111111112
Nsynth,16,0.15732468284734114,0.34675938200084633,0.25204203242409373,0.9565217391304348,1,1.0,1,0.136845142943269,0.13306187203319453,0.13495350748823176,0.0,0.6111111111111112
Nsynth,32,0.1474751857830099,0.3194398548397183,0.2334575203113641,0.961352657004831,1,1.0,1,0.14036522643354254,0.12355148995183678,0.13195835819268967,0.0,0.6222222222222222
Nsynth,64,0.13889890273084982,0.30379891036109985,0.22134890654597483,0.9516908212560387,1,1.0,1,0.1474481905990593,0.12363988655432802,0.13554403857669367,0.0,0.6222222222222222
Nsynth,128,0.13593386495964035,0.29896411990385713,0.21744899243174876,0.9516908212560387,1,1.0,1,0.1461718324858357,0.12154736514590625,0.13385959881587098,0.0,0.6333333333333333
TUTasc,3,-0.5284098585266973,-0.13104247365098354,-0.3297261660888404,0.4,9,0.5666666666666667,18,-0.0042051731669340365,-0.020225141570084402,-0.012215157368509219,0.0,0.36666666666666664
TUTasc,4,-0.4282581837247334,-0.11734398735426341,-0.2728010855394984,0.6333333333333333,8,0.7,8,0.10713334884930828,0.014353088076659108,0.060743218462983695,0.0,0.4
TUTasc,8,-0.22548607980244828,-0.09156118648809453,-0.1585236331452714,0.8333333333333334,4,0.8666666666666667,1,0.1634330700501759,0.06489662853032055,0.11416484929024823,0.0,0.4
TUTasc,16,-0.18173913848516027,-0.06713137025514239,-0.12443525437015132,0.9,1,0.9,1,0.18920595784711777,0.07957685416450075,0.13439140600580926,0.0,0.5
TUTasc,32,-0.16860432014252894,-0.06220530270153479,-0.11540481142203186,0.9666666666666667,1,0.9666666666666667,1,0.20054816319223745,0.07779972524677367,0.13917394421950557,0.0,0.4666666666666667
TUTasc,64,-0.16539633020354966,-0.060751741848934754,-0.1130740360262422,0.9666666666666667,1,0.9666666666666667,1,0.19961510091968518,0.07979538728995253,0.13970524410481885,0.0,0.4666666666666667
TUTasc,128,-0.16358716681543717,-0.06038002676037882,-0.111983596787908,0.9666666666666667,1,0.9666666666666667,1,0.19869156683827066,0.07975825233590673,0.1392249095870887,0.0,0.4666666666666667
