Dataset,dims,Sil_fine,Sil_coarse,Sil_avg,KNN_acc_fine,n_k_fine,KNN_acc_coarse,n_k_coarse,HSil_fine,HSil_coarse,HSil_avg,HKNN_acc_fine,HKNN_acc_coarse
3BirdSpecies9individuals,3,-0.06178985016915329,0.3752682637704589,0.1567392068006528,0.42028985507246375,35,0.8260869565217391,25,0.020346672212802116,0.4357268410347847,0.2280367566237934,0.0,0.8111111111111111
3BirdSpecies9individuals,4,-0.007546656196296256,0.4344899245240301,0.21347163416386694,0.5024154589371981,32,0.8985507246376812,21,0.0633466984750307,0.4187033712199505,0.2410250348474906,0.0,0.8333333333333334
3BirdSpecies9individuals,8,0.07024904874560835,0.3450989865945118,0.20767401767006008,0.7342995169082126,9,0.9178743961352657,6,0.21989372757645753,0.4435959299858914,0.3317448287811745,0.0,0.8444444444444444
3BirdSpecies9individuals,16,0.14227068681306093,0.30129031194213957,0.22178049937760025,0.8647342995169082,3,0.966183574879227,1,0.29859678577090065,0.4383456581098397,0.3684712219403702,0.0,0.8777777777777778
3BirdSpecies9individuals,32,0.1341843881390469,0.27174833274450305,0.20296636044177496,0.855072463768116,1,0.966183574879227,1,0.31271150211882726,0.40892438535958064,0.36081794373920395,0.0,0.9
3BirdSpecies9individuals,64,0.1257278055129802,0.25232812534215865,0.18902796542756944,0.8695652173913043,1,0.966183574879227,3,0.31284882884170645,0.3901979786312095,0.35152340373645796,0.0,0.9111111111111111
3BirdSpecies9individuals,128,0.11751345100763771,0.23766426247428504,0.17758885674096136,0.8888888888888888,3,0.9710144927536232,3,0.30619426570097524,0.369073355579045,0.33763381064001013,0.0,0.9222222222222223
3BirdSpecies9individuals,256,0.11005915984716133,0.2240042871940296,0.16703172352059548,0.8888888888888888,1,0.9758454106280193,8,0.2985294168120473,0.35055144352797907,0.3245404301700132,0.0,0.9444444444444444
3BirdSpecies9individuals,512,0.104594095151137,0.21355491823519698,0.159074506693167,0.893719806763285,1,0.9710144927536232,3,0.29023351380657725,0.3343360794413978,0.31228479662398756,0.0,0.9222222222222223
Nsynth,3,0.09474886055686232,0.47404872265824416,0.2843987916075532,0.8115942028985508,1,0.966183574879227,1,-0.05697152358737331,0.09198614900446486,0.017507312708545775,0.0,0.45555555555555555
Nsynth,4,0.19042435379323014,0.4038037030159268,0.29711402840457846,0.9033816425120773,4,0.9951690821256038,4,0.012313064263546187,0.09330848560749318,0.05281077493551968,0.0,0.4222222222222222
Nsynth,8,0.2351440277487701,0.3746117332503558,0.30487788049956294,0.9710144927536232,1,1.0,1,0.1627574337383684,0.16451550076173352,0.16363646725005096,0.0,0.5
Nsynth,16,0.2886918286019604,0.32576273215899604,0.3072272803804782,0.9855072463768116,1,1.0,1,0.19909814449896013,0.1637521478987722,0.18142514619886618,0.0,0.5666666666666667
Nsynth,32,0.2640198734944142,0.2942436971455645,0.27913178531998933,0.9951690821256038,1,1.0,1,0.2207515587221899,0.15513890831175628,0.1879452335169731,0.0,0.5333333333333333
Nsynth,64,0.23642142199348687,0.2693684837315958,0.2528949528625413,0.9903381642512077,1,1.0,1,0.2398512301395364,0.15492370525820642,0.19738746769887142,0.0,0.5222222222222223
Nsynth,128,0.21342723647351186,0.24764270804151714,0.23053497225751451,0.9855072463768116,1,1.0,1,0.24891292499131054,0.15261352923818158,0.20076322711474606,0.0,0.5666666666666667
Nsynth,256,0.19414697343449275,0.22983954656414016,0.21199325999931645,0.9855072463768116,1,1.0,1,0.24621447251457904,0.1419014258242558,0.19405794916941743,0.0,0.5555555555555556
Nsynth,512,0.18245315203446513,0.21850112442482658,0.20047713822964586,0.9855072463768116,1,1.0,1,0.24305566239931997,0.13556120149583173,0.18930843194757585,0.0,0.5777777777777777
TUTasc,3,0.08164013671911911,0.5555344421122591,0.3185872894156891,0.8333333333333334,10,0.9,39,0.6343948373514754,0.6992002603302674,0.6667975488408714,0.0,0.9666666666666667
TUTasc,4,0.07002703584901937,0.4649996326560198,0.26751333425251955,0.8333333333333334,1,0.9,1,0.5627382576548905,0.6595754731385798,0.6111568653967352,0.0,0.9333333333333333
TUTasc,8,0.1965935999800174,0.3712977163243754,0.2839456581521964,0.9666666666666667,1,1.0,1,0.5371948490099329,0.5644763351841131,0.5508355920970229,0.0,0.8333333333333334
TUTasc,16,0.20195307930198042,0.3422201196237902,0.27208659946288527,1.0,1,1.0,3,0.5382892419302661,0.5204732181069672,0.5293812300186167,0.0,0.7666666666666667
TUTasc,32,0.19848253711461364,0.3176494447718793,0.25806599094324645,1.0,1,1.0,30,0.5167517158310609,0.48721978201241767,0.5019857489217393,0.0,0.8333333333333334
TUTasc,64,0.18945547094497012,0.3042243942086805,0.24683993257682532,1.0,1,1.0,29,0.5042538807756628,0.4775789874846161,0.4909164341301394,0.0,0.8333333333333334
TUTasc,128,0.18368534948343684,0.29682172671953333,0.2402535381014851,1.0,1,1.0,20,0.49014276764323833,0.4649241506297448,0.4775334591364916,0.0,0.8666666666666667
TUTasc,256,0.18048528775086378,0.29259187610309556,0.23653858192697969,1.0,1,1.0,19,0.4806944692551412,0.455656721515546,0.4681755953853436,0.0,0.8666666666666667
TUTasc,512,0.17775694610628517,0.290044581954414,0.2339007640303496,1.0,1,1.0,19,0.4728522293140481,0.4484445416098301,0.4606483854619391,0.0,0.8666666666666667
