Dataset,dims,Sil_fine,Sil_coarse,Sil_avg,KNN_acc_fine,n_k_fine,KNN_acc_coarse,n_k_coarse,HSil_fine,HSil_coarse,HSil_avg,HKNN_acc_fine,HKNN_acc_coarse
3BirdSpecies9individuals,3,-0.05922906600256101,0.38338268230303263,0.1620768081502358,0.4444444444444444,20,0.8454106280193237,7,-0.002342731114809454,0.4503499967434824,0.2240036328143365,0.0,0.8333333333333334
3BirdSpecies9individuals,4,-0.009916445452841042,0.44046288604883926,0.2152732202979991,0.5652173913043478,3,0.9130434782608695,4,-0.021239789541839846,0.45048308304392753,0.21462164675104384,0.0,0.8
3BirdSpecies9individuals,8,0.035311408462560534,0.3755153193190468,0.20541336389080367,0.7294685990338164,8,0.9516908212560387,5,0.238016618661327,0.4591838995241012,0.3486002590927141,0.0,0.8777777777777778
3BirdSpecies9individuals,16,0.0730737043295882,0.3355359912165787,0.20430484777308344,0.7971014492753623,6,0.9758454106280193,1,0.2854112898423544,0.45311733406997035,0.3692643119561624,0.0,0.8777777777777778
3BirdSpecies9individuals,32,0.0848811477711035,0.3101189478008702,0.19750004778598684,0.8357487922705314,3,0.9758454106280193,1,0.2973689162129431,0.4282710610003677,0.36281998860665543,0.0,0.8888888888888888
3BirdSpecies9individuals,64,0.08050034807517355,0.29076885761729376,0.18563460284623365,0.855072463768116,3,0.9758454106280193,1,0.2965939650880964,0.40933671426424717,0.3529653396761718,0.0,0.8666666666666667
3BirdSpecies9individuals,128,0.07655769330391943,0.2752517142547177,0.17590470377931858,0.855072463768116,1,0.9758454106280193,1,0.3017338063298719,0.3909392168399744,0.3463365115849232,0.0,0.8777777777777778
3BirdSpecies9individuals,256,0.07258186691796507,0.2619297197884554,0.16725579335321025,0.8599033816425121,1,0.9855072463768116,1,0.29666089972580423,0.37412101629185635,0.3353909580088303,0.0,0.8777777777777778
3BirdSpecies9individuals,512,0.06999027896897374,0.2530074500552775,0.16149886451212564,0.855072463768116,1,0.9806763285024155,1,0.29134337613846933,0.3617802957309275,0.32656183593469845,0.0,0.8666666666666667
Nsynth,3,0.13900983573048273,0.5064069015194819,0.3227083686249823,0.8599033816425121,5,0.966183574879227,13,0.02211243301433086,0.08347940354080866,0.052795918277569756,0.0,0.4
Nsynth,4,0.22600978270114042,0.46831893295168103,0.34716435782641075,0.9371980676328503,1,0.9903381642512077,1,0.08934864030750574,0.10356744272927464,0.09645804151839019,0.0,0.3888888888888889
Nsynth,8,0.327364206299353,0.4262719145145126,0.3768180604069328,0.9903381642512077,1,1.0,1,0.2317746935878375,0.19457906268355818,0.21317687813569786,0.0,0.4888888888888889
Nsynth,16,0.33077550092552305,0.3833871238271113,0.3570813123763172,1.0,1,1.0,1,0.2642070606838921,0.19999322074958967,0.2321001407167409,0.0,0.5222222222222223
Nsynth,32,0.3066728261816769,0.3489197121552807,0.3277962691684788,1.0,1,1.0,1,0.2863208544549687,0.2006833252795902,0.24350208986727945,0.0,0.5333333333333333
Nsynth,64,0.2793345481873986,0.32608587995804467,0.30271021407272164,1.0,1,1.0,1,0.28230327816458967,0.19637234452430488,0.23933781134444726,0.0,0.5444444444444444
Nsynth,128,0.2576358056090524,0.30787903262497474,0.2827574191170136,1.0,1,1.0,1,0.2791909312273923,0.1873225509974496,0.23325674111242095,0.0,0.5555555555555556
Nsynth,256,0.24051908052814464,0.2937147713500831,0.26711692593911385,1.0,1,1.0,1,0.27388193838063596,0.1779520802181795,0.22591700929940772,0.0,0.5666666666666667
Nsynth,512,0.230330450191382,0.284981989703053,0.2576562199472175,1.0,1,1.0,1,0.27121953722854264,0.17075299828046814,0.2209862677545054,0.0,0.5666666666666667
TUTasc,3,-0.09126506159404837,0.3865728834282074,0.14765391091707952,0.5666666666666667,37,0.7333333333333333,26,0.5693944939213752,0.6285989221905408,0.598996708055958,0.0,0.8333333333333334
TUTasc,4,0.08980289322036421,0.37161091723781847,0.23070690522909135,0.8,7,0.8333333333333334,7,0.5317737643183795,0.6037575773163986,0.567765670817389,0.0,0.8666666666666667
TUTasc,8,0.22207228022494382,0.3462547281084235,0.2841635041666837,0.9333333333333333,3,0.9666666666666667,3,0.5672322943484196,0.5257218889132588,0.5464770916308392,0.0,0.9
TUTasc,16,0.232602125813678,0.3403092573597632,0.2864556915867206,1.0,1,1.0,4,0.5653712622913629,0.4992500288572842,0.5323106455743236,0.0,0.8666666666666667
TUTasc,32,0.22250144595818788,0.3208824178567446,0.2716919319074662,1.0,3,1.0,9,0.5439800459804249,0.47371043303532645,0.5088452395078757,0.0,0.8666666666666667
TUTasc,64,0.21516876170459978,0.30957888268578915,0.26237382219519445,1.0,3,1.0,17,0.5334108586806382,0.464055092708172,0.4987329756944051,0.0,0.8
TUTasc,128,0.20923500119521846,0.30351402427954094,0.2563745127373797,1.0,3,1.0,17,0.5241809658233174,0.4541445603807433,0.48916276310203033,0.0,0.8333333333333334
TUTasc,256,0.20549064149418586,0.30080451032689837,0.2531475759105421,1.0,3,1.0,17,0.5171312230378203,0.4480971365997192,0.48261417981876975,0.0,0.8333333333333334
TUTasc,512,0.20316627530668277,0.2991005242037123,0.25113339975519755,1.0,3,1.0,17,0.5116674479119402,0.44282358335286887,0.4772455156324045,0.0,0.8333333333333334
